id,name,type,price,upc,shipping,description,manufacturer,model,url,image,createdAt,updatedAt
43900,"Duracell - AAA Batteries (4-Pack)",HardGood,5.49,041333424019,0,"Compatible with select electronic devices; AAA size; DURALOCK Power Preserve technology; 4-pack",Duracell,MN2400B4Z,http://www.bestbuy.com/site/duracell-aaa-batteries-4-pack/43900.p?id=1051384074145&skuId=43900&cmp=RMXCC,http://img.bbystatic.com/BestBuy_US/images/products/4390/43900_sa.jpg,"2016-11-17 17:58:03.298 +00:00","2016-11-17 17:58:03.298 +00:00"
48530,"Duracell - AA 1.5V CopperTop Batteries (4-Pack)",HardGood,5.49,041333415017,0,"Long-lasting energy; DURALOCK Power Preserve technology; for toys, clocks, radios, games, remotes, PDAs and more",Duracell,MN1500B4Z,http://www.bestbuy.com/site/duracell-aa-1-5v-coppertop-batteries-4-pack/48530.p?id=1099385268988&skuId=48530&cmp=RMXCC,http://img.bbystatic.com/BestBuy_US/images/products/4853/48530_sa.jpg,"2016-11-17 17:58:03.298 +00:00","2016-11-17 17:58:03.298 +00:00"
127687,"Duracell - AA Batteries (8-Pack)",HardGood,7.49,041333825014,0,"Compatible with select electronic devices; AA size; DURALOCK Power Preserve technology; 8-pack",Duracell,MN1500B8Z,http://www.bestbuy.com/site/duracell-aa-batteries-8-pack/127687.p?id=1051384045676&skuId=127687&cmp=RMXCC,http://img.bbystatic.com/BestBuy_US/images/products/1276/127687_sa.jpg,"2016-11-17 17:58:03.298 +00:00","2016-11-17 17:58:03.298 +00:00"
150115,"Energizer - MAX Batteries AA (4-Pack)",HardGood,4.99,039800011329,0,"4-pack AA alkaline batteries; battery tester included",Energizer,E91BP-4,http://www.bestbuy.com/site/energizer-max-batteries-aa-4-pack/150115.p?id=1051384046217&skuId=150115&cmp=RMXCC,http://img.bbystatic.com/BestBuy_US/images/products/1501/150115_sa.jpg,"2016-11-17 17:58:03.298 +00:00","2016-11-17 17:58:03.298 +00:00"
185230,"Duracell - C Batteries (4-Pack)",HardGood,8.99,041333440019,0,"Compatible with select electronic devices; C size; DURALOCK Power Preserve technology; 4-pack",Duracell,MN1400R4Z,http://www.bestbuy.com/site/duracell-c-batteries-4-pack/185230.p?id=1051384046486&skuId=185230&cmp=RMXCC,http://img.bbystatic.com/BestBuy_US/images/products/1852/185230_sa.jpg,"2016-11-17 17:58:03.298 +00:00","2016-11-17 17:58:03.298 +00:00"
185267,"Duracell - D Batteries (4-Pack)",HardGood,9.99,041333430010,0,"Compatible with select electronic devices; D size; DURALOCK Power Preserve technology; 4-pack",Duracell,MN1300R4Z,http://www.bestbuy.com/site/duracell-d-batteries-4-pack/185267.p?id=1051384046551&skuId=185267&cmp=RMXCC,http://img.bbystatic.com/BestBuy_US/images/products/1852/185267_sa.jpg,"2016-11-17 17:58:03.298 +00:00","2016-11-17 17:58:03.298 +00:00"
309062,"Pioneer - 4"" 3-Way Surface-Mount Speakers with IMPP Composite Cones (Pair) - Black",HardGood,144.99,012562165141,0,"80W maximum power (20W RMS); 4"" IMPP composite cone woofer; 3/4"" horn tweeter",Pioneer,TS-X200,http://www.bestbuy.com/site/pioneer-4-3-way-surface-mount-speakers-with-impp-composite-cones-pair-black/309062.p?id=1218643240258&skuId=309062&cmp=RMXCC,http://img.bbystatic.com/BestBuy_US/images/products/0309/0309062_sa.jpg,"2016-11-17 17:58:03.298 +00:00","2016-11-17 17:58:03.298 +00:00"
312290,"Duracell - 9V Batteries (2-Pack)",HardGood,7.99,041333216010,0,"Compatible with select electronic devices; alkaline chemistry; 9V size; DURALOCK Power Preserve technology; 2-pack",Duracell,MN1604B2Z,http://www.bestbuy.com/site/duracell-9v-batteries-2-pack/312290.p?id=1051384050321&skuId=312290&cmp=RMXCC,http://img.bbystatic.com/BestBuy_US/images/products/3122/312290_sa.jpg,"2016-11-17 17:58:03.298 +00:00","2016-11-17 17:58:03.298 +00:00"
333179,"Energizer - N Cell E90 Batteries (2-Pack)",HardGood,5.99,039800013200,0,"Alkaline batteries; 1.5V",Energizer,E90BP-2,http://www.bestbuy.com/site/energizer-n-cell-e90-batteries-2-pack/333179.p?id=1185268509951&skuId=333179&cmp=RMXCC,http://img.bbystatic.com/BestBuy_US/images/products/3331/333179_sa.jpg,"2016-11-17 17:58:03.298 +00:00","2016-11-17 17:58:03.298 +00:00"
346575,"Metra - Radio Installation Dash Kit for Most 1989-2000 Ford, Lincoln & Mercury Vehicles - Black",HardGood,16.99,086429002757,0,"From our expanded online assortment; compatible with most 1989-2000 Ford, Lincoln and Mercury vehicles; snap-in TurboKit offers fast installation; spacer/trim ring; rear support bracket",Metra,99-5512,http://www.bestbuy.com/site/metra-radio-installation-dash-kit-for-most-1989-2000-ford-lincoln-mercury-vehicles-black/346575.p?id=1218118704590&skuId=346575&cmp=RMXCC,http://img.bbystatic.com/BestBuy_US/images/products/3465/346575_rc.jpg,"2016-11-17 17:58:03.298 +00:00","2016-11-17 17:58:03.298 +00:00"
